Entity,Category,Year,Diffusion
Household refrigerator,Household,1932,0.14
Landline,Communication,1932,0.35
Radio,Communication,1932,0.6
Refrigerator,Household,1932,0.216
Stove,Household,1932,0.37
Vacuum,Household,1932,0.466
Washing machine,Household,1932,0.13
Automobile,Transportation,1933,0.5
Electric power,Household,1933,0.67
Electric Range,Household,1933,0.05
Household refrigerator,Household,1933,0.17
Iron,Household,1933,0.96
Landline,Communication,1933,0.32
Radio,Communication,1933,0.63
Refrigerator,Household,1933,0.247
Stove,Household,1933,0.375
Vacuum,Household,1933,0.486
Washing machine,Household,1933,0.15
Water Heater,Household,1933,0.01
Automobile,Transportation,1934,0.51
Electric power,Household,1934,0.67
Household refrigerator,Household,1934,0.2
Landline,Communication,1934,0.31
Radio,Communication,1934,0.65
Refrigerator,Household,1934,0.293
Stove,Household,1934,0.38
Vacuum,Household,1934,0.481
Washing machine,Household,1934,0.17
Automobile,Transportation,1935,0.52
Electric power,Household,1935,0.685
Household refrigerator,Household,1935,0.24
Landline,Communication,1935,0.32
Radio,Communication,1935,0.68
Refrigerator,Household,1935,0.342
Stove,Household,1935,0.4
Vacuum,Household,1935,0.483
Washing machine,Household,1935,0.19
Automobile,Transportation,1936,0.54
Electric power,Household,1936,0.7
Household refrigerator,Household,1936,0.27
Landline,Communication,1936,0.33
Radio,Communication,1936,0.72
Refrigerator,Household,1936,0.411
Stove,Household,1936,0.45
Vacuum,Household,1936,0.489
Washing machine,Household,1936,0.2
Automobile,Transportation,1937,0.55
Electric power,Household,1937,0.73
Household refrigerator,Household,1937,0.33
Landline,Communication,1937,0.34
Radio,Communication,1937,0.74
Refrigerator,Household,1937,0.494
Stove,Household,1937,0.5
Vacuum,Household,1937,0.488
Washing machine,Household,1937,0.22
Automobile,Transportation,1938,0.54
Electric power,Household,1938,0.75
Household refrigerator,Household,1938,0.38
Landline,Communication,1938,0.345
Radio,Communication,1938,0.78
Refrigerator,Household,1938,0.517
Stove,Household,1938,0.5
Vacuum,Household,1938,0.49
Washing machine,Household,1938,0.24
Automatic transmission,Transportation,1939,0
Automobile,Transportation,1939,0.54
Electric power,Household,1939,0.765
Household refrigerator,Household,1939,0.43
Landline,Communication,1939,0.35
Radio,Communication,1939,0.8
Refrigerator,Household,1939,0.56
Stove,Household,1939,0.5
Vacuum,Household,1939,0.484
Washing machine,Household,1939,0.25
Automobile,Transportation,1940,0.55
Central heating,Household,1940,0.42
Electric power,Household,1940,0.78
Flush toilet,Household,1940,0.6
Household refrigerator,Household,1940,0.44
Landline,Communication,1940,0.37
Radio,Communication,1940,0.81
Refrigerator,Household,1940,0.63
Running water,Household,1940,0.7
Stove,Household,1940,0.53
Vacuum,Household,1940,0.492
Washing machine,Household,1940,0.24
Automobile,Transportation,1941,0.57
Electric power,Household,1941,0.795
Household refrigerator,Household,1941,0.47
Landline,Communication,1941,0.39
Radio,Communication,1941,0.82
Refrigerator,Household,1941,0.72
Stove,Household,1941,0.55
Vacuum,Household,1941,0.497
Washing machine,Household,1941,0.22
Automobile,Transportation,1942,0.53
Electric power,Household,1942,0.81
Household refrigerator,Household,1942,0.5
Landline,Communication,1942,0.415
Radio,Communication,1942,0.84
Refrigerator,Household,1942,0.718
Stove,Household,1942,0.57
Vacuum,Household,1942,0.495
Washing machine,Household,1942,0.2
Automobile,Transportation,1943,0.49
Electric power,Household,1943,0.81
Household refrigerator,Household,1943,0.52
Landline,Communication,1943,0.44
Radio,Communication,1943,0.84
Refrigerator,Household,1943,0.709
Stove,Household,1943,0.58
Vacuum,Household,1943,0.49
Washing machine,Household,1943,0.19
Automobile,Transportation,1944,0.47
Electric power,Household,1944,0.83
Household refrigerator,Household,1944,0.55
Landline,Communication,1944,0.45
Radio,Communication,1944,0.87
Refrigerator,Household,1944,0.696
Stove,Household,1944,0.59
Vacuum,Household,1944,0.482
Washing machine,Household,1944,0.18
Automobile,Transportation,1945,0.46
Electric power,Household,1945,0.85
Household refrigerator,Household,1945,0.56
Landline,Communication,1945,0.46
Radio,Communication,1945,0.88
Refrigerator,Household,1945,0.675
Stove,Household,1945,0.59
Vacuum,Household,1945,0.469
Washing machine,Household,1945,0.17
Automobile,Transportation,1946,0.48
Electric power,Household,1946,0.855
Household refrigerator,Household,1946,0.62
Landline,Communication,1946,0.5
Radio,Communication,1946,0.89
Refrigerator,Household,1946,0.691
Stove,Household,1946,0.61
Vacuum,Household,1946,0.488
Washing machine,Household,1946,0.15
Automobile,Transportation,1947,0.51
Electric power,Household,1947,0.86
Household refrigerator,Household,1947,0.67
Landline,Communication,1947,0.54
Radio,Communication,1947,0.92
Refrigerator,Household,1947,0.712
Stove,Household,1947,0.64
Vacuum,Household,1947,0.495
Washing machine,Household,1947,0.16
Automobile,Transportation,1948,0.53
Dishwasher,Household,1948,0.012
Electric power,Household,1948,0.89
Household refrigerator,Household,1948,0.71
Landline,Communication,1948,0.58
Radio,Communication,1948,0.92
Refrigerator,Household,1948,0.766
Stove,Household,1948,0.67
Vacuum,Household,1948,0.517
Washing machine,Household,1948,0.16
Automobile,Transportation,1949,0.55
Dishwasher,Household,1949,0.015
Electric power,Household,1949,0.93
Household refrigerator,Household,1949,0.76
Landline,Communication,1949,0.6
Radio,Communication,1949,0.93
Refrigerator,Household,1949,0.792
Stove,Household,1949,0.7
Vacuum,Household,1949,0.528
Washing machine,Household,1949,0.17
Automobile,Transportation,1950,0.58
Central heating,Household,1950,0.5
Dishwasher,Household,1950,0.02
Dryer,Household,1950,0.01
Electric power,Household,1950,0.94
Electric Range,Household,1950,0.14
Flush toilet,Household,1950,0.71
Freezer,Household,1950,0.06
Household refrigerator,Household,1950,0.8
Landline,Communication,1950,0.62
Radio,Communication,1950,0.92
Refrigerator,Household,1950,0.864
Running water,Household,1950,0.83
Stove,Household,1950,0.74
Vacuum,Household,1950,0.565
Washing machine,Household,1950,0.18
Automatic transmission,Transportation,1951,0.36
Automobile,Transportation,1951,0.6
Dishwasher,Household,1951,0.026
Electric power,Household,1951,0.95
Household refrigerator,Household,1951,0.83
Landline,Communication,1951,0.635
Power steering,Transportation,1951,0
Radio,Communication,1951,0.92
Refrigerator,Household,1951,0.867
Stove,Household,1951,0.77
Vacuum,Household,1951,0.577
Washing machine,Household,1951,0.19
Automatic transmission,Transportation,1952,0.445
Automobile,Transportation,1952,0.6
Dishwasher,Household,1952,0.03
Electric power,Household,1952,0.96
Household refrigerator,Household,1952,0.86
Landline,Communication,1952,0.65
Power steering,Transportation,1952,0.02
Radio,Communication,1952,0.92
Refrigerator,Household,1952,0.892
Stove,Household,1952,0.8
Vacuum,Household,1952,0.594
Washing machine,Household,1952,0.2
Automatic transmission,Transportation,1953,0.5
Automobile,Transportation,1953,0.62
Dishwasher,Household,1953,0.032
Electric power,Household,1953,0.97
Household refrigerator,Household,1953,0.88
Landline,Communication,1953,0.675
Power steering,Transportation,1953,0.06
Radio,Communication,1953,0.93
Refrigerator,Household,1953,0.904
Stove,Household,1953,0.84
Vacuum,Household,1953,0.605
Washing machine,Household,1953,0.22
Water Heater,Household,1953,0.12
Automatic transmission,Transportation,1954,0.55
Automobile,Transportation,1954,0.65
Dishwasher,Household,1954,0.035
Electric power,Household,1954,0.9767
Household refrigerator,Household,1954,0.91
Landline,Communication,1954,0.7
Power steering,Transportation,1954,0.12
Radio,Communication,1954,0.96
Refrigerator,Household,1954,0.924
Stove,Household,1954,0.855
Vacuum,Household,1954,0.622
Washing machine,Household,1954,0.26
Automatic transmission,Transportation,1955,0.635
Automobile,Transportation,1955,0.68
Dishwasher,Household,1955,0.04
Electric power,Household,1955,0.9833
Household refrigerator,Household,1955,0.93
Landline,Communication,1955,0.7167
Power steering,Transportation,1955,0.19
Radio,Communication,1955,0.96
Refrigerator,Household,1955,0.941
Stove,Household,1955,0.87
Vacuum,Household,1955,0.643
Washing machine,Household,1955,0.29
Automatic transmission,Transportation,1956,0.723
Automobile,Transportation,1956,0.72
Dishwasher,Household,1956,0.046
Electric power,Household,1956,0.99
Household refrigerator,Household,1956,0.95
Landline,Communication,1956,0.7333
Power steering,Transportation,1956,0.25
Radio,Communication,1956,0.96
Refrigerator,Household,1956,0.96
Stove,Household,1956,0.885
Vacuum,Household,1956,0.667
Washing machine,Household,1956,0.32
Automatic transmission,Transportation,1957,0.8
Automobile,Transportation,1957,0.74
Dishwasher,Household,1957,0.052
Electric power,Household,1957,0.99
Home air conditioning,Household,1957,0.1
Household refrigerator,Household,1957,0.96
Landline,Communication,1957,0.75
Power steering,Transportation,1957,0.32
Radio,Communication,1957,0.96
Refrigerator,Household,1957,0.973
Stove,Household,1957,0.9
Vacuum,Household,1957,0.683
Washing machine,Household,1957,0.35
Automatic transmission,Transportation,1958,0.82
Automobile,Transportation,1958,0.71
Dishwasher,Household,1958,0.058
Electric power,Household,1958,0.99
Home air conditioning,Household,1958,0.12
Household refrigerator,Household,1958,0.97
Landline,Communication,1958,0.765
Power steering,Transportation,1958,0.39
Radio,Communication,1958,0.96
Refrigerator,Household,1958,0.977
Stove,Household,1958,0.93
Vacuum,Household,1958,0.709
Washing machine,Household,1958,0.37
Automatic transmission,Transportation,1959,0.81
Automobile,Transportation,1959,0.73
Dishwasher,Household,1959,0.063
Electric power,Household,1959,0.99
Home air conditioning,Household,1959,0.12
Household refrigerator,Household,1959,0.974
Landline,Communication,1959,0.78
Power steering,Transportation,1959,0.43
Radio,Communication,1959,0.96
Refrigerator,Household,1959,0.98
Stove,Household,1959,0.94
Vacuum,Household,1959,0.725
Washing machine,Household,1959,0.38
Automatic transmission,Transportation,1960,0.78
Automobile,Transportation,1960,0.75
Central heating,Household,1960,0.66
Dishwasher,Household,1960,0.071
Dryer,Household,1960,0.11
Electric power,Household,1960,0.99
Electric Range,Household,1960,0.3
Flush toilet,Household,1960,0.87
Freezer,Household,1960,0.22
Home air conditioning,Household,1960,0.12
Household refrigerator,Household,1960,0.978
Landline,Communication,1960,0.785
Power steering,Transportation,1960,0.43
Radio,Communication,1960,0.95
Refrigerator,Household,1960,0.982
Running water,Household,1960,0.93
Stove,Household,1960,0.95
Vacuum,Household,1960,0.743
Washing machine,Household,1960,0.41
Water Heater,Household,1960,0.2
Automatic transmission,Transportation,1961,0.77
Automobile,Transportation,1961,0.76
Dishwasher,Household,1961,0.079
Electric power,Household,1961,0.99
Home air conditioning,Household,1961,0.13
Household refrigerator,Household,1961,0.982
Landline,Communication,1961,0.79
Power steering,Transportation,1961,0.42
Radio,Communication,1961,0.95
Refrigerator,Household,1961,0.983
Stove,Household,1961,0.955
Vacuum,Household,1961,0.764
Washing machine,Household,1961,0.43
Automatic transmission,Transportation,1962,0.78
Automobile,Transportation,1962,0.75
Dishwasher,Household,1962,0.089
Electric power,Household,1962,0.99
Electronic ignition,Transportation,1962,0
Home air conditioning,Household,1962,0.14
Household refrigerator,Household,1962,0.986
Landline,Communication,1962,0.8
Power steering,Transportation,1962,0.43
Radio,Communication,1962,0.94
Refrigerator,Household,1962,0.995
Stove,Household,1962,0.96
Vacuum,Household,1962,0.782
Washing machine,Household,1962,0.45
Automatic transmission,Transportation,1963,0.8
Automobile,Transportation,1963,0.79
Dishwasher,Household,1963,0.09
Electric power,Household,1963,0.99
Home air conditioning,Household,1963,0.14
Household refrigerator,Household,1963,0.99
Landline,Communication,1963,0.81
Power steering,Transportation,1963,0.48
Radio,Communication,1963,0.95
Refrigerator,Household,1963,0.991
Stove,Household,1963,0.96
Vacuum,Household,1963,0.795
Washing machine,Household,1963,0.47
Automatic transmission,Transportation,1964,0.82
Automobile,Transportation,1964,0.79
Dishwasher,Household,1964,0.118
Electric power,Household,1964,0.99
Home air conditioning,Household,1964,0.16
Household refrigerator,Household,1964,0.99
Landline,Communication,1964,0.82
Power steering,Transportation,1964,0.53
Radio,Communication,1964,0.96
Refrigerator,Household,1964,0.993
Stove,Household,1964,0.965
Vacuum,Household,1964,0.812
Washing machine,Household,1964,0.49
Automatic transmission,Transportation,1965,0.84
Automobile,Transportation,1965,0.79
Dishwasher,Household,1965,0.135
Electric power,Household,1965,0.99
Freezer,Household,1965,0.26
Home air conditioning,Household,1965,0.17
Household refrigerator,Household,1965,0.99
Iron,Household,1965,0.99
Landline,Communication,1965,0.85
Power steering,Transportation,1965,0.59
Radio,Communication,1965,0.96
Refrigerator,Household,1965,0.995
Stove,Household,1965,0.97
Vacuum,Household,1965,0.835
Washing machine,Household,1965,0.5
Automatic transmission,Transportation,1966,0.865
Automobile,Transportation,1966,0.79
Colour TV,Entertainment,1966,0.1
Dishwasher,Household,1966,0.157
Disk brakes,Transportation,1966,0.01
Electric power,Household,1966,0.99
Home air conditioning,Household,1966,0.19
Household refrigerator,Household,1966,0.99
Landline,Communication,1966,0.86
Power steering,Transportation,1966,0.65
Radio,Communication,1966,0.96
Refrigerator,Household,1966,0.996
Stove,Household,1966,0.9733
Vacuum,Household,1966,0.856
Washing machine,Household,1966,0.52
Automatic transmission,Transportation,1967,0.895
Automobile,Transportation,1967,0.78
Colour TV,Entertainment,1967,0.15
Dishwasher,Household,1967,0.181
Disk brakes,Transportation,1967,0.035
Electric power,Household,1967,0.99
Home air conditioning,Household,1967,0.21
Household refrigerator,Household,1967,0.99
Landline,Communication,1967,0.87
Power steering,Transportation,1967,0.73
Radio,Communication,1967,0.96
Refrigerator,Household,1967,0.997
Stove,Household,1967,0.9767
Vacuum,Household,1967,0.87
Washing machine,Household,1967,0.53
Automatic transmission,Transportation,1968,0.93
Automobile,Transportation,1968,0.785
Cable TV,Entertainment,1968,0.076
Colour TV,Entertainment,1968,0.21
Dishwasher,Household,1968,0.208
Disk brakes,Transportation,1968,0.073
Electric power,Household,1968,0.99
Home air conditioning,Household,1968,0.25
Household refrigerator,Household,1968,0.99
Landline,Communication,1968,0.885
Power steering,Transportation,1968,0.8
Radio,Communication,1968,0.96
Refrigerator,Household,1968,0.998
Stove,Household,1968,0.98
Vacuum,Household,1968,0.891
Washing machine,Household,1968,0.55
Automatic transmission,Transportation,1969,0.95
Automobile,Transportation,1969,0.79
Cable TV,Entertainment,1969,0.087
Colour TV,Entertainment,1969,0.25
Dishwasher,Household,1969,0.237
Disk brakes,Transportation,1969,0.152
Electric power,Household,1969,0.99
Home air conditioning,Household,1969,0.31
Household refrigerator,Household,1969,0.99
Landline,Communication,1969,0.9
Power steering,Transportation,1969,0.87
Radio,Communication,1969,0.97
Refrigerator,Household,1969,0.998
Stove,Household,1969,0.98
Vacuum,Household,1969,0.907
Washing machine,Household,1969,0.58
Automatic transmission,Transportation,1970,0.97
Automobile,Transportation,1970,0.8
Cable TV,Entertainment,1970,0.096
Central heating,Household,1970,0.78
Colour TV,Entertainment,1970,0.31
Dishwasher,Household,1970,0.265
Disk brakes,Transportation,1970,0.265
Dryer,Household,1970,0.28
Electric power,Household,1970,0.99
Electric Range,Household,1970,0.4
Flush toilet,Household,1970,0.96
Freezer,Household,1970,0.3
Home air conditioning,Household,1970,0.37
Household refrigerator,Household,1970,0.99
Iron,Household,1970,1
Landline,Communication,1970,0.87
Power steering,Transportation,1970,0.91
Radio,Communication,1970,0.98
Refrigerator,Household,1970,0.998
Running water,Household,1970,0.98
Stove,Household,1970,0.9833
Vacuum,Household,1970,0.92
Washing machine,Household,1970,0.59
Water Heater,Household,1970,0.23
Automatic transmission,Transportation,1971,0.975
Automobile,Transportation,1971,0.8
Cable TV,Entertainment,1971,0.111
Colour TV,Entertainment,1971,0.39
Dishwasher,Household,1971,0.296
Disk brakes,Transportation,1971,0.435
Electric power,Household,1971,0.99
Home air conditioning,Household,1971,0.44
Household refrigerator,Household,1971,0.99
Landline,Communication,1971,0.875
Power steering,Transportation,1971,0.915
Radio,Communication,1971,0.99
Refrigerator,Household,1971,0.998
Stove,Household,1971,0.9867
Vacuum,Household,1971,0.944
Washing machine,Household,1971,0.61
Automatic transmission,Transportation,1972,0.98
Automobile,Transportation,1972,0.81
Cable TV,Entertainment,1972,0.13
Colour TV,Entertainment,1972,0.43
Dishwasher,Household,1972,0.32
Disk brakes,Transportation,1972,0.585
Electric power,Household,1972,0.99
Home air conditioning,Household,1972,0.47
Household refrigerator,Household,1972,0.99
Landline,Communication,1972,0.88
Power steering,Transportation,1972,0.92
Radial tires,Transportation,1972,0.005
Radio,Communication,1972,0.99
Refrigerator,Household,1972,0.999
Stove,Household,1972,0.99
Vacuum,Household,1972,0.969
Washing machine,Household,1972,0.64
Automatic transmission,Transportation,1973,0.985
Automobile,Transportation,1973,0.82
Cable TV,Entertainment,1973,0.155
Colour TV,Entertainment,1973,0.48
Dishwasher,Household,1973,0.343
Disk brakes,Transportation,1973,0.74
Dryer,Household,1973,0.4
Electric power,Household,1973,0.99
Home air conditioning,Household,1973,0.49
Household refrigerator,Household,1973,0.99
Landline,Communication,1973,0.8867
Power steering,Transportation,1973,0.93
Radial tires,Transportation,1973,0.045
Radio,Communication,1973,0.99
Refrigerator,Household,1973,0.999
Stove,Household,1973,0.99
Vacuum,Household,1973,0.975
Washing machine,Household,1973,0.66
Automatic transmission,Transportation,1974,0.98
Automobile,Transportation,1974,0.83
Cable TV,Entertainment,1974,0.155
Colour TV,Entertainment,1974,0.57
Dishwasher,Household,1974,0.366
Disk brakes,Transportation,1974,0.81
Electric power,Household,1974,0.99
Home air conditioning,Household,1974,0.5
Household refrigerator,Household,1974,0.99
Landline,Communication,1974,0.8933
Power steering,Transportation,1974,0.935
Radial tires,Transportation,1974,0.16
Radio,Communication,1974,0.99
Refrigerator,Household,1974,0.999
Stove,Household,1974,0.99
Vacuum,Household,1974,0.984
Washing machine,Household,1974,0.68
Automatic transmission,Transportation,1975,0.985
Automobile,Transportation,1975,0.83
Cable TV,Entertainment,1975,0.167
Colour TV,Entertainment,1975,0.64
Dishwasher,Household,1975,0.383
Disk brakes,Transportation,1975,0.875
Electric power,Household,1975,0.99
Electric Range,Household,1975,0.45
Home air conditioning,Household,1975,0.51
Household refrigerator,Household,1975,0.99
Landline,Communication,1975,0.9
Microwave,Household,1975,0.03
Power steering,Transportation,1975,0.95
Radial tires,Transportation,1975,0.425
Radio,Communication,1975,0.99
Refrigerator,Household,1975,0.999
Stove,Household,1975,0.99
Vacuum,Household,1975,0.992
Washing machine,Household,1975,0.7
Automatic transmission,Transportation,1976,0.98
Automobile,Transportation,1976,0.84
Cable TV,Entertainment,1976,0.177
Colour TV,Entertainment,1976,0.69
Dishwasher,Household,1976,0.396
Disk brakes,Transportation,1976,0.92
Electric power,Household,1976,0.99
Home air conditioning,Household,1976,0.52
Household refrigerator,Household,1976,0.99
Landline,Communication,1976,0.905
Power steering,Transportation,1976,0.96
Radial tires,Transportation,1976,0.64
Radio,Communication,1976,0.99
Refrigerator,Household,1976,0.998
Stove,Household,1976,0.99
Vacuum,Household,1976,0.995
Washing machine,Household,1976,0.71
Automatic transmission,Transportation,1977,0.99
Automobile,Transportation,1977,0.85
Cable TV,Entertainment,1977,0.1897
Colour TV,Entertainment,1977,0.74
Disk brakes,Transportation,1977,0.97
Electric power,Household,1977,0.99
Electronic ignition,Transportation,1977,0.02
Home air conditioning,Household,1977,0.53
Household refrigerator,Household,1977,0.99
Landline,Communication,1977,0.91
Power steering,Transportation,1977,0.99
Radial tires,Transportation,1977,0.81
Radio,Communication,1977,0.99
Stove,Household,1977,0.99
Washing machine,Household,1977,0.72
Automatic transmission,Transportation,1978,1
Automobile,Transportation,1978,0.85
Cable TV,Entertainment,1978,0.2188
Colour TV,Entertainment,1978,0.75
Dishwasher,Household,1978,0.419
Disk brakes,Transportation,1978,0.99
Dryer,Household,1978,0.43
Electric power,Household,1978,0.99
Electronic ignition,Transportation,1978,0.05
Freezer,Household,1978,0.38
Home air conditioning,Household,1978,0.55
Household refrigerator,Household,1978,0.99
Landline,Communication,1978,0.915
Power steering,Transportation,1978,1
Radial tires,Transportation,1978,0.82
Radio,Communication,1978,0.99
Refrigerator,Household,1978,0.997
Stove,Household,1978,0.99
Vacuum,Household,1978,0.999
Washing machine,Household,1978,0.73
Automatic transmission,Transportation,1979,1
Automobile,Transportation,1979,0.85
Cable TV,Entertainment,1979,0.2832
Colour TV,Entertainment,1979,0.78
Disk brakes,Transportation,1979,1
Electric power,Household,1979,0.99
Electronic ignition,Transportation,1979,0.11
Home air conditioning,Household,1979,0.55
Household refrigerator,Household,1979,0.99
Landline,Communication,1979,0.92
Power steering,Transportation,1979,1
Radial tires,Transportation,1979,0.87
Radio,Communication,1979,0.99
Stove,Household,1979,0.99
Washing machine,Household,1979,0.73
Automatic transmission,Transportation,1980,1
Automobile,Transportation,1980,0.86
Cable TV,Entertainment,1980,0.3526
Colour TV,Entertainment,1980,0.79
Disk brakes,Transportation,1980,1
Electric power,Household,1980,0.99
Electric Range,Household,1980,0.5
Electronic ignition,Transportation,1980,0.11
Flush toilet,Household,1980,0.98
Home air conditioning,Household,1980,0.565
Household refrigerator,Household,1980,0.99
Landline,Communication,1980,0.925
Microwave,Household,1980,0.07
Power steering,Transportation,1980,0.99
Radial tires,Transportation,1980,0.91
Radio,Communication,1980,0.99
Running water,Household,1980,0.99
Stove,Household,1980,0.99
Washing machine,Household,1980,0.72
Automatic transmission,Transportation,1981,1
Automobile,Transportation,1981,0.86
Cable TV,Entertainment,1981,0.404
Colour TV,Entertainment,1981,0.8
Disk brakes,Transportation,1981,0.99
Electric power,Household,1981,0.99
Electronic ignition,Transportation,1981,0.45
Home air conditioning,Household,1981,0.58
Household refrigerator,Household,1981,0.99
Landline,Communication,1981,0.93
Power steering,Transportation,1981,0.96
Radial tires,Transportation,1981,0.955
Radio,Communication,1981,0.99
Stove,Household,1981,0.99
Washing machine,Household,1981,0.71
Automatic transmission,Transportation,1982,1
Automobile,Transportation,1982,0.86
Cable TV,Entertainment,1982,0.4353
Colour TV,Entertainment,1982,0.85
Disk brakes,Transportation,1982,0.975
Electric power,Household,1982,0.99
Electronic ignition,Transportation,1982,0.7
Freezer,Household,1982,0.42
Home air conditioning,Household,1982,0.58
Household refrigerator,Household,1982,0.99
Landline,Communication,1982,0.925
Microwave,Household,1982,0.2
Power steering,Transportation,1982,0.95
Radial tires,Transportation,1982,0.985
Radio,Communication,1982,0.99
Stove,Household,1982,0.99
Washing machine,Household,1982,0.69
Water Heater,Household,1982,0.29
Automatic transmission,Transportation,1983,1
Automobile,Transportation,1983,0.865
Cable TV,Entertainment,1983,0.4594
Colour TV,Entertainment,1983,0.88
Disk brakes,Transportation,1983,0.99
Dryer,Household,1983,0.49
Electric power,Household,1983,0.99
Electronic ignition,Transportation,1983,0.98
Home air conditioning,Household,1983,0.58
Household refrigerator,Household,1983,0.99
Landline,Communication,1983,0.92
Microwave,Household,1983,0.34
Power steering,Transportation,1983,0.97
Radial tires,Transportation,1983,1
Radio,Communication,1983,0.99
Stove,Household,1983,0.99
Washing machine,Household,1983,0.69
Water Heater,Household,1983,0.31
Automatic transmission,Transportation,1984,1
Automobile,Transportation,1984,0.87
Cable TV,Entertainment,1984,0.4794
Colour TV,Entertainment,1984,0.89
Disk brakes,Transportation,1984,1
Electric power,Household,1984,0.99
Electronic ignition,Transportation,1984,1
Home air conditioning,Household,1984,0.6
Household refrigerator,Household,1984,0.99
Landline,Communication,1984,0.92
Power steering,Transportation,1984,1
Radial tires,Transportation,1984,1
Radio,Communication,1984,0.99
Stove,Household,1984,0.99
Washing machine,Household,1984,0.71
Automobile,Transportation,1985,0.88
Cable TV,Entertainment,1985,0.5032
Colour TV,Entertainment,1985,0.9
Electric power,Household,1985,0.99
Electric Range,Household,1985,0.53
Home air conditioning,Household,1985,0.61
Household refrigerator,Household,1985,0.99
Landline,Communication,1985,0.92
Radio,Communication,1985,0.99
Stove,Household,1985,0.99
Washing machine,Household,1985,0.71
Automobile,Transportation,1986,0.88
Cable TV,Entertainment,1986,0.5368
Colour TV,Entertainment,1986,0.905
Dryer,Household,1986,0.48
Electric power,Household,1986,0.99
Electric Range,Household,1986,0.57
Home air conditioning,Household,1986,0.62
Household refrigerator,Household,1986,0.99
Landline,Communication,1986,0.9225
Microwave,Household,1986,0.6
Radio,Communication,1986,0.99
Stove,Household,1986,0.99
Washing machine,Household,1986,0.72
Water Heater,Household,1986,0.35
Automobile,Transportation,1987,0.89
Cable TV,Entertainment,1987,0.5726
Colour TV,Entertainment,1987,0.91
Electric power,Household,1987,0.99
Home air conditioning,Household,1987,0.63
Household refrigerator,Household,1987,0.99
